timestamp,ip_address,user_agent,status_code,request_method,url,response_time,log_level
2025-02-13 06:58:04.072836,75.104.45.87,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),401,DELETE,/admin,1522.63,INFO
2025-02-13 07:07:26.072836,168.5.11.122,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,GET,/admin,302.51,INFO
2025-02-13 07:09:44.072836,112.166.232.25,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),502,POST,/login,1871.98,INFO
2025-02-13 07:10:13.072836,220.145.129.191,Mozilla/5.0 (Linux; Android 11),200,POST,/home,2746.75,INFO
2025-02-13 07:19:48.072836,41.150.116.145,Mozilla/5.0 (Windows NT 10.0; Win64; x64),201,DELETE,/search?q=test,1491.42,INFO
2025-02-13 07:20:18.072836,108.113.135.251,Mozilla/5.0 (Windows NT 6.1; Win64; x64),200,PUT,/api/data,2169.24,INFO
2025-02-13 07:20:31.072836,230.226.25.252,Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X),404,GET,/home,1851.27,INFO
2025-02-13 07:21:35.072836,166.99.10.37,Mozilla/5.0 (Windows NT 6.1; Win64; x64),200,DELETE,/admin,2957.96,CRITICAL
2025-02-13 07:23:23.072836,223.201.111.142,Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X),502,PUT,/dashboard,315.7,INFO
2025-02-13 07:30:55.072836,124.139.17.106,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),301,POST,/logout,1944.37,INFO
2025-02-13 07:31:33.072836,45.95.189.250,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),301,PUT,/dashboard,1163.12,INFO
2025-02-13 07:32:23.072836,23.215.173.167,Mozilla/5.0 (Windows NT 10.0; Win64; x64),400,GET,/profile,2520.17,WARNING
2025-02-13 07:34:00.072836,152.70.201.182,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),500,DELETE,/profile,1871.44,CRITICAL
2025-02-13 07:35:52.072836,113.12.189.10,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),403,POST,/dashboard,1778.34,INFO
2025-02-13 07:36:23.072836,24.94.241.145,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,PUT,/settings,1891.78,INFO
2025-02-13 07:39:18.072836,8.171.162.248,Mozilla/5.0 (Windows NT 10.0; Win64; x64),301,PUT,/admin,2471.02,INFO
2025-02-13 07:43:43.072836,119.34.228.244,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,POST,/api/data,1262.5,CRITICAL
2025-02-13 07:45:49.072836,245.193.28.209,Mozilla/5.0 (Linux; Android 11),201,DELETE,/logout,998.17,INFO
2025-02-13 07:46:56.072836,196.248.199.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64),400,GET,/settings,1416.88,INFO
2025-02-13 07:48:06.072836,160.238.99.118,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),502,POST,/api/data,878.43,INFO
2025-02-13 07:48:25.072836,129.75.235.33,Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X),401,DELETE,/search?q=test,106.78,INFO
2025-02-13 07:48:41.072836,149.216.133.207,Mozilla/5.0 (Linux; Android 11),401,PUT,/profile,1458.56,ERROR
2025-02-13 07:49:10.072836,142.36.136.104,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),201,PUT,/settings,1122.53,INFO
2025-02-13 07:52:03.072836,100.125.115.136,Mozilla/5.0 (Windows NT 6.1; Win64; x64),301,GET,/home,918.2,INFO
2025-02-13 07:56:01.072836,100.10.96.191,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),401,GET,/admin,1054.3,INFO
2025-02-13 07:57:08.072836,23.39.225.172,Mozilla/5.0 (Linux; Android 11),500,DELETE,/login,2062.72,INFO
2025-02-13 07:59:22.072836,109.219.208.3,Mozilla/5.0 (Windows NT 10.0; Win64; x64),301,PUT,/home,2861.02,INFO
2025-02-13 08:02:19.072836,209.1.142.55,Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X),502,DELETE,/logout,1432.98,WARNING
2025-02-13 08:09:16.072836,185.240.68.235,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),301,POST,/login,2804.2,INFO
2025-02-13 08:11:09.072836,89.68.90.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64),201,PUT,/dashboard,2315.11,INFO
2025-02-13 08:12:04.072836,216.185.151.243,Mozilla/5.0 (Windows NT 6.1; Win64; x64),503,GET,/home,2129.85,INFO
2025-02-13 08:13:23.072836,247.90.116.251,Mozilla/5.0 (Linux; Android 11),401,GET,/api/data,1178.96,INFO
2025-02-13 08:18:10.072836,244.33.164.76,Mozilla/5.0 (Windows NT 6.1; Win64; x64),404,PUT,/home,183.1,INFO
2025-02-13 08:19:07.072836,102.193.173.247,Mozilla/5.0 (Windows NT 10.0; Win64; x64),500,POST,/login,1308.35,INFO
2025-02-13 08:19:11.072836,223.203.167.79,Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X),400,POST,/api/data,1203.01,INFO
2025-02-13 08:20:03.072836,25.108.223.73,Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X),401,POST,/admin,2747.1,INFO
2025-02-13 08:21:28.072836,190.102.35.236,Mozilla/5.0 (Windows NT 6.1; Win64; x64),301,GET,/admin,2683.45,INFO
2025-02-13 08:30:12.072836,137.44.148.224,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,GET,/admin,1103.63,CRITICAL
2025-02-13 08:32:58.072836,146.64.114.116,Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X),400,PUT,/logout,2766.92,WARNING
2025-02-13 08:33:10.072836,64.223.76.236,Mozilla/5.0 (Windows NT 10.0; Win64; x64),301,DELETE,/logout,1735.71,INFO
2025-02-13 08:40:43.072836,133.105.244.1,Mozilla/5.0 (Windows NT 6.1; Win64; x64),404,POST,/settings,1032.2,ERROR
2025-02-13 08:43:44.072836,102.36.49.87,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,PUT,/login,1631.68,INFO
2025-02-13 08:48:20.072836,150.49.142.91,Mozilla/5.0 (Windows NT 6.1; Win64; x64),403,PUT,/login,2955.17,INFO
2025-02-13 08:48:51.072836,5.250.238.156,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),500,DELETE,/search?q=test,601.58,INFO
2025-02-13 08:50:49.072836,224.67.230.251,Mozilla/5.0 (Linux; Android 11),400,GET,/admin,1106.78,INFO
2025-02-13 08:50:52.072836,186.124.241.16,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),503,DELETE,/settings,264.42,CRITICAL
2025-02-13 08:55:23.072836,24.162.96.156,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),502,PUT,/logout,481.4,INFO
2025-02-13 08:57:22.072836,114.38.39.126,Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X),502,GET,/logout,1592.39,CRITICAL
2025-02-13 09:03:12.072836,102.8.194.142,Mozilla/5.0 (Linux; Android 11),500,POST,/login,1127.15,WARNING
2025-02-13 09:05:10.072836,9.118.123.40,Mozilla/5.0 (Windows NT 6.1; Win64; x64),502,GET,/settings,2177.54,INFO
2025-02-13 09:14:31.072836,11.6.243.126,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),502,GET,/profile,1925.97,INFO
2025-02-13 09:14:32.072836,121.217.234.254,Mozilla/5.0 (Windows NT 10.0; Win64; x64),403,PUT,/profile,2719.16,WARNING
2025-02-13 09:18:12.072836,97.114.146.192,Mozilla/5.0 (Linux; Android 11),400,GET,/profile,2534.78,INFO
2025-02-13 09:24:46.072836,153.18.25.30,Mozilla/5.0 (Windows NT 10.0; Win64; x64),503,POST,/home,1759.58,INFO
2025-02-13 09:37:13.072836,117.193.122.26,Mozilla/5.0 (Windows NT 6.1; Win64; x64),500,DELETE,/api/data,744.54,INFO
